zip5,sumtotal
30024,38433.76
55405,38277.83
30064,38268.89
90803,38174.18
05401,38164.07
30022,38140.03
11101,38119.77
75208,37982.95
96734,37961.49
19066,37869.71
30004,37804.86
02468,37798.68
02114,37627.68
98072,37611.72
91316,37587.99
30317,37422.92
95608,37383.25
63105,37372.88
06824,37033.53
95819,36998.04
95129,36968.62
95831,36945.92
94546,36879.73
60304,36797.1
55410,36680.57
85018,36662.26
94588,36549.35
90274,36540.67
87106,36530.03
94108,36529.87
20191,36464.27
93401,36272.13
91107,36234.05
81301,36214.07
92109,36079.87
27312,36058.75
78745,36020.31
01915,36003.63
92009,35981.11
19072,35960.56
94523,35894.61
80218,35789.04
95630,35774.69
98029,35773.95
30068,35686.65
22043,35684.65
93103,35629.5
02145,35590.5
80202,35536.78
92117,35416.28
81611,35415.57
75225,35406.69
07920,35382.89
94804,35341.15
94556,35021.12
98075,35020.46
98250,34916.94
10591,34890.05
97702,34773.75
75248,34490.22
02141,34418.19
80212,34415.07
48823,34392.31
60626,34375.2
22031,34365.32
97401,34270.37
87507,34260.65
98026,34228.15
87107,34143.19
94536,34116.48
12866,34077.85
93117,34006.55
84098,33998.21
37212,33981.15
97333,33948.94
10471,33925.95
55408,33840.7
21209,33797.21
07666,33698.38
91106,33682.71
10033,33680.23
44120,33669.18
60540,33666.23
77027,33569.33
94404,33541.5
06119,33536.96
97403,33535.9
94939,33510.2
10803,33468.93
11372,33418.31
60045,33374.38
90404,33350.1
92067,33205.84
75214,33198.2
30080,33161.28
80524,33154.15
06903,32932.05
11206,32905
02131,32781.75
93023,32752.72
97302,32723.66
02108,32720.82
70115,32703.78
02129,32683.2
90278,32679.22
30067,32664.36
97223,32614.68
02186,32592.15
11209,32507.23
22307,32497.37
10804,32456.99
40205,32432.81
10706,32323.41
19038,32319.72
87110,32209.72
30097,32155.84
94577,32129.2
89511,32053.38
43209,32039.02
01062,31966.95
55104,31943.94
80113,31933.53
01701,31861.75
19143,31827.41
30084,31790.6
10605,31762.59
33040,31756.58
98221,31692.71
96816,31682.74
30331,31632.5
60137,31555.96
33308,31545.63
98028,31527.42
06840,31507.12
63130,31488.11
02481,31450.66
06517,31433.39
93111,31354.39
77098,31347.94
19807,31342.73
18940,31324.89
22015,31229.56
80526,31221.51
90211,31152.85
83702,31126.99
20147,31051.71
98074,30974.54
32608,30961.31
03801,30861.84
22206,30860.07
14618,30850.2
78701,30836.07
06117,30835.77
01267,30823.94
94019,30760.38
21208,30709.14
02115,30638.03
02840,30623.82
10031,30615.16
60601,30521.2
20024,30447.17
75218,30416.38
89052,30407.73
75206,30392.9
98012,30317.08
92107,30283.25
55113,30282.75
19067,30281.05
91607,30263.07
98005,30254.1
19085,30251.41
85712,30232.84
90254,30213.07
94606,30194.99
98108,30175.48
24060,30060.58
01760,30056.79
95037,29926.88
63108,29859.6
28712,29781.06
27612,29738.36
06877,29735.56
94080,29732.24
95959,29718.45
34228,29704.36
02176,29678.32
31411,29599.85
78702,29588.08
60025,29569.77
15232,29345.38
92106,29329.88
07670,29303.87
10069,29279.57
01886,29235.36
19003,29221.61
85745,29189.15
22030,29128.67
92128,29089.09
14534,29064.24
21228,29036.35
75220,29016.16
55401,29011.91
01451,28989.03
55407,28986.75
95050,28935.13
01930,28925.1
94553,28835.19
10040,28824.07
95864,28702.14
06902,28644.98
99203,28632.76
92677,28611.42
93101,28551.26
11576,28488.65
30066,28441.96
08057,28411.6
85028,28382.38
19063,28344.86
98260,28324.65
53202,28285.46
91401,28283.74
10034,28177.52
43221,28160.94
91103,28136.4
21093,28133.56
77025,28123.27
43214,28098.02
19711,28072.48
32162,28071.15
98370,28059.05
55414,28040.31
22209,28039.54
23185,28004.45
92648,27995.07
94925,27980.38
08534,27977.76
95822,27976.98
94587,27953.98
10549,27948.37
60015,27898.92
91364,27843.16
94947,27836.4
91362,27828.63
01945,27821.76
60305,27802.82
33437,27779.9
55417,27729.27
78613,27703.3
32308,27696.19
98506,27668.62
95405,27606.39
02124,27602.52
11733,27570.35
37204,27569.79
03755,27567.75
95746,27491.96
94132,27426.98
30326,27387.02
95762,27380.97
93109,27339.74
10708,27324.04
10530,27305.36
47906,27286.76
90020,27271.63
97203,27252.9
53717,27238.1
91356,27186.23
19046,27159.86
19446,27138.37
94597,27137.8
16801,27131.39
27701,27063.44
92110,27061.24
31405,26983.96
11106,26977.5
22306,26974.93
85704,26947.09
20017,26940.65
60645,26939.96
94510,26897.59
92646,26855.65
80504,26739.24
21117,26733.95
32034,26727.91
02127,26718.86
34231,26700.92
02110,26691.68
87571,26671.33
92129,26634.8
93003,26633.77
19104,26633.06
33305,26542.01
55116,26540.23
43085,26525.01
17603,26511.15
28805,26428.76
55902,26417.19
32789,26351.86
27278,26347.24
92625,26340.54
18901,26321.29
78749,26319.99
75229,26303.67
37027,26252.65
27613,26252.17
20782,26155.67
10543,26078.69
92118,26071.24
98058,26070.76
96744,25955.88
07728,25954.73
19002,25951.61
80477,25921.86
97068,25885.92
10514,25866.74
22181,25865.39
21403,25815.51
87122,25813.29
92075,25806.33
80246,25766.2
92612,25744.51
85719,25647.47
19348,25608.46
95123,25597.81
22066,25582.84
21043,25546.54
92617,25542.91
28226,25519.87
90802,25486.02
80521,25461.42
11743,25420.05
94559,25419.82
90808,25329.02
55102,25295.73
48197,25287.23
63119,25275.06
11221,25271.56
22302,25253.23
60515,25245.26
66044,25215.98
19958,25202.83
30152,25202.59
34786,25199.74
12054,25185.77
08003,25183.5
92270,25161.03
20190,25148.2
72701,25134.2
06405,25128.49
89509,25124.92
87048,25113.61
91307,25057.33
19382,25047.93
94930,24976.14
27703,24922.89
77043,24914.98
94583,24912.19
10960,24899.56
94104,24875.65
93924,24836.4
91506,24813.86
94805,24798.37
80224,24781.88
78666,24767.2
85258,24746.78
30087,24746.14
93110,24740.41
11233,24723.78
87108,24709.73
02453,24695.62
12561,24679.74
19035,24677.55
02043,24654.25
00000,24533.87
19107,24532.64
21701,24513.1
30092,24511.29
32312,24490.53
