zip5,sumtotal
38120,18197.81
72223,18116.32
98052,18030.6
60521,18024.16
66211,17997.48
77401,17982.52
77573,17964.32
49423,17955.19
22039,17946.6
70001,17932.46
77478,17928.59
32708,17925.02
30127,17912.41
34957,17903.06
15241,17825.71
91324,17825.35
28374,17765.28
76135,17761.11
76016,17758.18
38002,17747.11
78613,17741.09
33157,17682.24
75002,17678.55
32250,17667.54
30542,17659.72
77380,17657.66
37069,17646.96
31561,17641.67
70433,17641.49
36608,17640.32
95746,17628.24
67230,17610.11
98040,17567.96
85258,17563.13
18901,17544.01
77345,17543.22
84780,17514.47
35406,17451.3
92675,17435.64
92648,17418.97
35758,17408.68
32259,17377.24
79424,17341.17
89134,17311.4
07458,17310.67
06883,17300.14
91011,17293.8
22205,17263.66
31047,17243.5
48037,17232.25
80439,17201.21
19380,17181.26
33919,17172.61
33913,17155.45
93274,17124.13
29909,17102.5
31792,17098.17
80303,17073.47
02770,17073.33
53051,17023.42
49770,17023.05
33016,16996.83
30324,16970.18
94028,16951.66
90266,16940.52
92807,16902.46
31410,16901.14
94301,16890.99
60047,16890.76
10012,16889.51
90277,16883.11
08540,16869.13
30114,16837.95
20002,16796.48
55436,16708.35
92626,16700.21
80016,16688.36
85395,16651.46
80132,16617.24
84103,16588.32
60439,16568.18
91361,16562.89
75024,16554.47
32256,16526.74
93065,16517.84
10514,16492.91
90402,16483.3
85268,16428.49
11743,16406.2
11557,16370
33331,16364.23
92886,16353.13
79705,16348.62
77055,16344.82
29045,16342.49
33304,16334.36
94507,16315.32
33706,16271.69
32210,16253.539999999999
30519,16246.28
91001,16244.46
97759,16227.51
53092,16222.53
92672,16201.75
32459,16198.11
93010,16196.77
22181,16191.82
94121,16176.98
80218,16136.68
85331,16028.95
40223,16015.61
49315,16012.66
77025,16012.49
25801,15990.49
28117,15983.6
76051,15980.71
99208,15979.03
94558,15954.07
07481,15943.98
84121,15940.25
30080,15915.72
30165,15898.48
85296,15854.41
31721,15848.85
37203,15795.98
91325,15772.99
77041,15719.09
32257,15701.54
91367,15673.53
94087,15659.33
76248,15649.38
74133,15636.66
70471,15635.61
34240,15623.26
75072,15623.11
98102,15591.5
92630,15570.45
27614,15555.98
70508,15549.62
28803,15421.26
94044,15409.52
92592,15384.1
07302,15382.95
96001,15336.55
32081,15309.29
94566,15268.22
34223,15240.68
33556,15238.32
37312,15236.61
74114,15228.31
93923,15210.66
02116,15204.5
92646,15186.19
33912,15177.15
36117,15118.92
08534,15116.65
93036,15087.99
43017,15044.64
94027,15036.32
85286,15030.81
77069,15027.21
77354,15026.33
92121,15010.32
01773,14986.63
91326,14972.47
30135,14961.42
84003,14961.33
30306,14946.08
21042,14897.08
92562,14889
30144,14875.65
73120,14860.78
11753,14829.99
11545,14824.15
78957,14814.98
37421,14794.31
78132,14791.74
53217,14744.17
37067,14692.91
27517,14681.83
77042,14662.13
22015,14631.5
34209,14622.65
34232,14621.37
72761,14617.83
78733,14604.33
19034,14557.48
77058,14538.3
70601,14509.98
94025,14505.81
31088,14504.56
34231,14498.77
75080,14483.86
80503,14474.74
11050,14469.29
95648,14461.73
92009,14435.67
10549,14434.98
37620,14421.84
80124,14410.59
30215,14405.22
30548,14402.13
60137,14375.82
35806,14344.77
80112,14341.49
19067,14339.06
78028,14338.28
76207,14324.07
63021,14308.35
77013,14286.46
65203,14284.05
85259,14273.14
44040,14259.97
85050,14246.03
36830,14243.26
89128,14201.79
84036,14195.81
37934,14139.05
32746,14133.68
92506,14111.16
22304,14059.68
32224,14058.48
22201,14055.02
98391,14033.08
73507,14011.99
68516,13994.11
75440,13972.86
94402,13970.82
01960,13948.43
10016,13939.68
32967,13934.59
32935,13902.48
21666,13878.32
85234,13875.46
33901,13870.16
32225,13851.15
90071,13833.33
11030,13811.56
21601,13803.96
60523,13795.82
97034,13790.26
76226,13779.6
74137,13778.95
46033,13773.99
33129,13739.13
20004,13733.33
46260,13730.79
10463,13729.32
60527,13721.87
94528,13720
98926,13719.9
20175,13701.98
78552,13700.52
32344,13695.7
60305,13661.63
29585,13660.58
30087,13653.43
27407,13649.67
95608,13635.15
75231,13632.29
44236,13628.56
80127,13597.95
19973,13591.48
66048,13568.1
74008,13566.28
91108,13554.27
23059,13531.46
97003,13531.08
22947,13527.99
48236,13525.53
80126,13523.22
85248,13521.7
77084,13521.35
92657,13512.27
92106,13508.76
78730,13488
99501,13466.09
78260,13446.75
43065,13425.42
93953,13402.5
64801,13400.01
92253,13394.2
28387,13382.42
90278,13381.63
70560,13364.82
63117,13355
76008,13342.01
